Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",100.000000,-109.500000,0.000000,top
"C2","100n","C_0402_1005Metric",107.500000,-93.500000,-45.000000,top
"C3","100n","C_0402_1005Metric",112.500000,-92.500000,180.000000,top
"C4","100n","C_0402_1005Metric",112.500000,-102.500000,180.000000,top
"C5","100n","C_0402_1005Metric",112.500000,-112.500000,180.000000,top
"C6","100n","C_0402_1005Metric",112.500000,-122.500000,180.000000,top
"C7","100n","C_0402_1005Metric",112.500000,-132.500000,180.000000,top
"C8","100n","C_0402_1005Metric",115.000000,-90.500000,-90.000000,top
"C9","100n","C_0402_1005Metric",124.500000,-92.500000,180.000000,top
"C10","100n","C_0402_1005Metric",124.500000,-102.500000,180.000000,top
"C11","100n","C_0402_1005Metric",124.500000,-112.500000,180.000000,top
"C12","100n","C_0402_1005Metric",124.500000,-122.500000,180.000000,top
"C13","100n","C_0402_1005Metric",128.525127,-93.525127,-135.000000,top
"C14","100n","C_0402_1005Metric",134.000000,-102.500000,180.000000,top
"C15","100n","C_0402_1005Metric",134.000000,-112.500000,180.000000,top
"C16","100n","C_0402_1005Metric",132.474873,-120.525127,135.000000,top
"C17","100n","C_0402_1005Metric",122.474873,-130.525127,135.000000,top
"C18","100n","C_0402_1005Metric",105.500000,-151.500000,135.000000,top
"C19","100n","C_0402_1005Metric",100.000000,-139.500000,0.000000,top
"C20","100n","C_0402_1005Metric",100.000000,-142.500000,180.000000,top
"C21","100n","C_0402_1005Metric",94.474873,-151.474873,45.000000,top
"C22","100n","C_0402_1005Metric",87.500000,-139.500000,0.000000,top
"C23","100n","C_0402_1005Metric",87.500000,-129.500000,0.000000,top
"C24","100n","C_0402_1005Metric",87.500000,-119.500000,0.000000,top
"C25","100n","C_0402_1005Metric",87.500000,-109.500000,0.000000,top
"C26","100n","C_0402_1005Metric",87.500000,-99.500000,0.000000,top
"C27","100n","C_0402_1005Metric",82.474873,-135.474873,45.000000,top
"C28","100n","C_0402_1005Metric",75.500000,-129.500000,0.000000,top
"C29","100n","C_0402_1005Metric",75.500000,-119.500000,0.000000,top
"C30","100n","C_0402_1005Metric",75.500000,-109.500000,0.000000,top
"C31","100n","C_0402_1005Metric",75.500000,-99.500000,0.000000,top
"C32","100n","C_0402_1005Metric",72.474873,-125.474873,45.000000,top
"C33","100n","C_0402_1005Metric",64.500000,-116.000000,90.000000,top
"C34","100n","C_0402_1005Metric",66.000000,-109.500000,0.000000,top
"C35","100n","C_0402_1005Metric",71.000000,-93.000000,0.000000,top
"C36","100n","C_0402_1005Metric",78.000000,-90.500000,-90.000000,top
"C37","100n","C_0402_1005Metric",92.525127,-93.525127,-135.000000,top
"C38","100n","C_0402_1005Metric",100.000000,-112.500000,180.000000,top
"D1","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",100.000000,-106.000000,90.000000,top
"D2","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",105.000000,-96.000000,45.000000,top
"D3","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",112.500000,-96.000000,-90.000000,top
"D4","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",112.500000,-106.000000,-90.000000,top
"D5","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",112.500000,-116.000000,-90.000000,top
"D6","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",112.500000,-126.000000,-90.000000,top
"D7","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",112.500000,-136.000000,-90.000000,top
"D8","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",118.500000,-90.500000,0.000000,top
"D9","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",124.500000,-96.000000,-90.000000,top
"D10","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",124.500000,-106.000000,-90.000000,top
"D11","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",124.500000,-116.000000,-90.000000,top
"D12","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",124.500000,-126.000000,-90.000000,top
"D13","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",131.000000,-96.000000,-45.000000,top
"D14","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",134.000000,-106.000000,-90.000000,top
"D15","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",134.000000,-116.000000,-90.000000,top
"D16","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",130.000000,-123.000000,-135.000000,top
"D17","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",120.000000,-133.000000,-135.000000,top
"D18","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",108.000000,-149.000000,-135.000000,top
"D19","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",100.000000,-136.000000,90.000000,top
"D20","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",100.000000,-146.000000,-90.000000,top
"D21","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",92.000000,-149.000000,135.000000,top
"D22","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",87.500000,-136.000000,90.000000,top
"D23","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",87.500000,-126.000000,90.000000,top
"D24","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",87.500000,-116.000000,90.000000,top
"D25","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",87.500000,-106.000000,90.000000,top
"D26","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",87.500000,-96.000000,90.000000,top
"D27","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",80.000000,-133.000000,135.000000,top
"D28","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",75.500000,-126.000000,90.000000,top
"D29","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",75.500000,-116.000000,90.000000,top
"D30","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",75.500000,-106.000000,90.000000,top
"D31","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",75.500000,-96.000000,90.000000,top
"D32","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",70.000000,-123.000000,135.000000,top
"D33","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",66.000000,-116.000000,90.000000,top
"D34","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",66.000000,-106.000000,90.000000,top
"D35","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",69.000000,-96.000000,45.000000,top
"D36","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",81.500000,-90.500000,0.000000,top
"D37","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",95.000000,-96.000000,-45.000000,top
"D38","SK6812SIDE","LED-SMD_4P-L4.0-W1.6-L",100.000000,-116.000000,-90.000000,top
"J1","SAOv2","IDC-Header_2x03_P2.54mm_Vertical_SMD",100.000000,-126.000000,-90.000000,top
